,group_label,stat_label,motion_label,representative_feature
curvature_mean_tail_abs_50th,55,50th,none,False
curvature_mean_tail_abs_90th,62,90th,none,False
curvature_mean_tail_abs_IQR,62,IQR,none,False
curvature_mean_tail_norm_abs_10th,55,10th,none,False
curvature_mean_tail_norm_abs_50th,55,50th,none,False
curvature_mean_tail_norm_abs_90th,62,90th,none,False
curvature_mean_tail_norm_abs_IQR,62,IQR,none,False
curvature_mean_tail_w_backward_abs_10th,55,10th,backward,False
curvature_mean_tail_w_backward_abs_50th,55,50th,backward,False
curvature_mean_tail_w_backward_abs_90th,59,90th,backward,False
curvature_mean_tail_w_backward_abs_IQR,59,IQR,backward,False
curvature_mean_tail_w_forward_abs_10th,55,10th,forward,False
curvature_mean_tail_w_forward_abs_50th,55,50th,forward,False
curvature_mean_tail_w_forward_abs_90th,59,90th,forward,False
curvature_mean_tail_w_forward_abs_IQR,59,IQR,forward,False
curvature_mean_tail_w_paused_abs_10th,40,10th,paused,False
curvature_mean_tail_w_paused_abs_50th,96,50th,paused,False
curvature_mean_tail_w_paused_abs_90th,96,90th,paused,False
curvature_mean_tail_w_paused_abs_IQR,96,IQR,paused,False
curvature_midbody_abs_10th,30,10th,none,False
curvature_midbody_abs_50th,63,50th,none,False
curvature_midbody_abs_90th,63,90th,none,False
curvature_midbody_abs_IQR,18,IQR,none,False
curvature_midbody_norm_abs_10th,30,10th,none,False
